candidate,Gene_label,Pathway_label,PathwayName,appears_in_seeds,seeds,mean_rank,best_rank,mean_confidence,std_confidence
RAET1G -> Glycosylphosphatidyl inositol anchor pathway,RAET1G,WP5505,Glycosylphosphatidyl inositol anchor pathway,1,1337,39.0,39,0.9928,0.0
SH3GL1 -> Phosphoinositides metabolism,SH3GL1,WP4971,Phosphoinositides metabolism,1,1337,40.0,40,0.9928,0.0
CAMKK2 -> Platelet homeostasis,CAMKK2,WP1885,Platelet homeostasis,1,123,50.0,50,0.9928,0.0
ATP5F1A -> Mitochondrial complex I assembly model OXPHOS system,ATP5F1A,WP4324,Mitochondrial complex I assembly model OXPHOS system,1,456,26.0,26,0.9927,0.0
HCAR1 -> Olfactory receptor activity,HCAR1,WP3608,Olfactory receptor activity,1,1337,41.0,41,0.9927,0.0
GLRA1 -> Neurexins and neuroligins,GLRA1,WP4133,Neurexins and neuroligins,1,42,42.0,42,0.9927,0.0
IL12A -> Type II interferon signaling,IL12A,WP619,Type II interferon signaling,1,42,43.0,43,0.9927,0.0
UBE2C -> Host Interactions of HIV factors,UBE2C,WP2684,Host Interactions of HIV factors,1,42,44.0,44,0.9927,0.0
CES3 -> Mitochondrial biogenesis,CES3,WP3331,Mitochondrial biogenesis,1,456,27.0,27,0.9926,0.0
SRR -> Tryptophan metabolism,SRR,WP465,Tryptophan metabolism,1,1337,42.0,42,0.9926,0.0
ADA -> Signaling by retinoic acid,ADA,WP4421,Signaling by retinoic acid,1,42,45.0,45,0.9926,0.0
NLGN4X -> Cardiac conduction,NLGN4X,WP3810,Cardiac conduction,1,1337,43.0,43,0.9925,0.0
ATP5F1E -> tRNA aminoacylation,ATP5F1E,WP1938,tRNA aminoacylation,1,42,46.0,46,0.9925,0.0
NDUFB10 -> Processing of SMDT1,NDUFB10,WP4134,Processing of SMDT1,1,42,47.0,47,0.9925,0.0
KCTD1 -> Nephrogenesis,KCTD1,WP5052,Nephrogenesis,1,42,48.0,48,0.9925,0.0
ADRA1D -> G alpha (i) signaling events,ADRA1D,WP4423,G alpha (i) signaling events,1,1337,44.0,44,0.9924,0.0
PCYT1A -> Iron uptake and transport,PCYT1A,WP2670,Iron uptake and transport,1,1337,45.0,45,0.9924,0.0
H2AB1 -> Effect of progerin on genes involved in progeria,H2AB1,WP4320,Effect of progerin on genes involved in progeria,1,1337,46.0,46,0.9924,0.0
FBF1 -> Ciliopathies,FBF1,WP4803,Ciliopathies,1,42,49.0,49,0.9924,0.0
ADH1C -> Surfactant metabolism,ADH1C,WP3579,Surfactant metabolism,1,42,50.0,50,0.9924,0.0
HADHB -> Mitochondrial long chain fatty acid beta-oxidation,HADHB,WP368,Mitochondrial long chain fatty acid beta-oxidation,1,456,28.0,28,0.9923,0.0
RNF19B -> Neddylation,RNF19B,WP4121,Neddylation,1,456,29.0,29,0.9922,0.0
TIGIT -> TNFs bind their physiological receptors,TIGIT,WP3350,TNFs bind their physiological receptors,1,456,30.0,30,0.9922,0.0
DHCR7 -> Mevalonate arm of cholesterol biosynthesis pathway with inhibitors,DHCR7,WP4189,Mevalonate arm of cholesterol biosynthesis pathway with inhibitors,1,456,31.0,31,0.9922,0.0
PI4KB -> Inositol phosphate metabolism,PI4KB,WP2741,Inositol phosphate metabolism,1,456,32.0,32,0.9922,0.0
HADHB -> Peroxisomal lipid metabolism,HADHB,WP1878,Peroxisomal lipid metabolism,1,456,33.0,33,0.9922,0.0
HADHB -> Cholesterol biosynthesis pathway in hepatocytes,HADHB,WP5329,Cholesterol biosynthesis pathway in hepatocytes,1,456,34.0,34,0.9922,0.0
UGT1A6 -> Vitamin A and carotenoid metabolism,UGT1A6,WP716,Vitamin A and carotenoid metabolism,1,1337,47.0,47,0.9922,0.0
SBF1 -> Inositol phosphate metabolism,SBF1,WP2741,Inositol phosphate metabolism,1,1337,48.0,48,0.9922,0.0
SH3GL1 -> Phosphatidyl inositol phosphate pathway,SH3GL1,WP5411,Phosphatidyl inositol phosphate pathway,1,1337,49.0,49,0.9922,0.0
GALNT16 -> Asparagine N-linked glycosylation,GALNT16,WP1785,Asparagine N-linked glycosylation,1,1337,50.0,50,0.9922,0.0
PQBP1 -> mRNA processing,PQBP1,WP411,mRNA processing,1,456,35.0,35,0.9921,0.0
DHCR7 -> Mevalonate pathway,DHCR7,WP3963,Mevalonate pathway,1,456,36.0,36,0.992,0.0
LPAR4 -> G alpha (i) signaling events,LPAR4,WP4423,G alpha (i) signaling events,1,456,37.0,37,0.9919,0.0
CES3 -> Regulation of lipid metabolism by PPARalpha,CES3,WP2797,Regulation of lipid metabolism by PPARalpha,1,456,38.0,38,0.9919,0.0
MMGT1 -> Mitochondrial protein import,MMGT1,WP2717,Mitochondrial protein import,1,456,39.0,39,0.9917,0.0
TFIP11 -> mRNA processing,TFIP11,WP411,mRNA processing,1,456,40.0,40,0.9916,0.0
PTGR1 -> Metapathway biotransformation Phase I and II,PTGR1,WP702,Metapathway biotransformation Phase I and II,1,456,41.0,41,0.9916,0.0
MMGT1 -> Cristae formation,MMGT1,WP4106,Cristae formation,1,456,42.0,42,0.9916,0.0
GNAS -> Potassium Channels,GNAS,WP2669,Potassium Channels,1,456,43.0,43,0.9915,0.0
UPF2 -> Metabolism of non-coding RNA,UPF2,WP2715,Metabolism of non-coding RNA,1,456,44.0,44,0.9915,0.0
ACADL -> Fatty acid transporters,ACADL,WP5061,Fatty acid transporters,1,456,45.0,45,0.9914,0.0
ARHGAP18 -> G alpha (12/13) signaling events,ARHGAP18,WP4426,G alpha (12/13) signaling events,1,456,46.0,46,0.9914,0.0
GNAS -> Activation of kainate receptors upon glutamate binding,GNAS,WP4456,Activation of kainate receptors upon glutamate binding,1,456,47.0,47,0.9913,0.0
ECHDC1 -> Cholesterol biosynthesis,ECHDC1,WP1795,Cholesterol biosynthesis,1,456,48.0,48,0.9912,0.0
SEMA3A -> Collagen chain trimerization,SEMA3A,WP4094,Collagen chain trimerization,1,456,49.0,49,0.9912,0.0
LPAR4 -> Anti-inflammatory response favouring Leishmania parasite infection,LPAR4,WP4993,Anti-inflammatory response favouring Leishmania parasite infection,1,456,50.0,50,0.9911,0.0
